'Abd Al-Hamid, Ja'far	Badgeless sur la Croisette (2012) {{SUSPENDED}}
'Bod' Baudet, Fred	63lbs (2013)
'Cali' Quiroz, Oscar	Manchild: The Schea Cotton Story (2016)
'Dada' Pecori, Diego	Adam (????/II)
'Dada' Pecori, Diego	Cantarella (2011)
'Dada' Pecori, Diego	Makhno Beer (2010)  (edited by)
'Dada' Pecori, Diego	Sui Pedali Della Vita, Giuseppe Sabatini (2012) (V)  (edited by)
'Harmy', Harmacek, Petr	Star Wars: Despecialized Edition Remastered V2.5, Introducing the Sources (2013) (V)
'i Shac' Harris, Oniel	Code (2017)
'Kusare, Mak (I)	A Play Called a Temple Made of Clay (2014)
'Kusare, Mak (I)	Baby Beautiful (2013/II)
'M.G.' Grayson, Michael	Finding Kismet (2011)  (as Emm Gee)
'M.G.' Grayson, Michael	Monday Monolgoues (2014)
'Noble Julz'Hamilton, Ulia	StudZmen (2013)  (as Noble Julz)
's-Gravesande, Jacob	Sabrina Starke: Bags & Suitcases (2010) (V)
's-Gravesande, Pjotr	Five Steps Into... (2014)
's-Gravesande, Pjotr	Gloeiend doek nooit geblust (2012)
's-Gravesande, Pjotr	Go Back to the Zoo: Live at Paradiso 2011 (2011) (V)
's-Gravesande, Pjotr	Louis Andriessen: Anaïs Nin (2011) (V)
's-Gravesande, Pjotr	Lucie Silvas: Live in Amsterdam (2007) (V)
's-Gravesande, Pjotr	Nine Steps Into Paradise (2013)
's-Gravesande, Pjotr	Sabrina Starke: Bags & Suitcases (2010) (V)  (supervising editor)
'Shmino' Gross, Sam	Laura Point (2015)
't Hooft, Albert	Little Quentin (2010)
't Joen, Léon\		Jack l'éventreur (1971)
-, Badiw\		Broken (2015/XII)
-, Primer Frame\		Friendsheep (2011)
-, Txabinet\		Hombre blanco hombre negro (2013)
--, Anónimo\		X Érase una vez (2015)
--, Broncos\		Pacifier & Blowpipe (2014)
--, Nysu\		Bastille: Good Grief (2016) (V)
--, Nysu\		Leñador y la Mujer América (2013)
--, Valle Producciones	Nocturno (2016/III)
-Mensah, Isaiah Entsua	A Delicate Mind (2011)
-Mensah, Isaiah Entsua	Wake (2011/II)
., Brickhouse\		Old Man Trouble (2014)
., Crobin\		Four Calories: A "Tic-Tacs" Parody (2013) (V)
., Crobin\		Jobbuilder: Clown Show (2014)
., Hazman Ruzman	The Thief and the Wise Man (2010)
., MacKsey\		The Job (2013/IV)
., MacKsey\		Waiting for a Bus. (2017)
., Rosso (II)\		They Are Our People: The Parallel Universes of North and South Korea (2017)
., Saguenail\		A Menina Dos Olhos (2012)
., Zeyn\	\		How much dose it cost you to look fine? (2017)
.John, Aji\		Dark Edges (2014)
.John, Aji\		Evolution of the Mind (2015)
.John, Aji\		Quod Licet Iovi, Non Licet Bovi (????)
.John, Aji\		Sane (2014)
.John, Aji\		The Prelude (2015/III)
.John, Aji\		Wir Sind (2014)
